(((60, 0.001, 0.001), 6640, 4.495039), 91.1483645439148)
(((80, 0.001, 0.001), 6670, 4.5011864), 90.01683592796326)
(((100, 0.001, 0.001), 6850, 4.508254), 89.71991539001465)
(((150, 0.001, 0.001), 6850, 4.518315), 90.15013575553894)
(((20, 0.001, 0.003), 5420, 13.720259), 49.94922578334808)
(((50, 0.001, 0.003), 5340, 13.750676), 50.03695487976074)
(((60, 0.001, 0.003), 5310, 13.767371), 50.03817677497864)
(((80, 0.001, 0.003), 5500, 13.773283), 50.07815361022949)
(((100, 0.001, 0.003), 5380, 13.793327), 49.9600887298584)
(((150, 0.001, 0.003), 5730, 13.821209), 50.01986026763916)
(((20, 0.001, 0.005), 4770, 13.73176), 49.929240345954895)
(((50, 0.001, 0.005), 4810, 13.792228), 50.00642538070679)
(((60, 0.001, 0.005), 4810, 13.787259), 50.01413822174072)
(((80, 0.001, 0.005), 4900, 13.813212), 49.893248081207275)
(((100, 0.001, 0.005), 4800, 13.855755), 49.946463108062744)
(((150, 0.001, 0.005), 5090, 13.915194), 49.999743700027466)
(((20, 0.003, 0.0001), 9060, 1.2116295), 97.37472534179688)
(((50, 0.003, 0.0001), 7850, 1.2172387), 97.14810848236084)
(((60, 0.003, 0.0001), 8590, 1.2163849), 97.31276631355286)
(((80, 0.003, 0.0001), 8040, 1.2211518), 97.82017469406128)
(((100, 0.003, 0.0001), 6900, 1.2228892), 96.57971262931824)
(((150, 0.003, 0.0001), 7990, 1.2229776), 97.07895517349243)
(((20, 0.003, 0.0003), 5390, 2.0716224), 96.37790322303772)
(((50, 0.003, 0.0003), 4320, 2.0804584), 97.28448987007141)
(((60, 0.003, 0.0003), 4450, 2.0829709), 96.65612578392029)
(((80, 0.003, 0.0003), 4700, 2.0880885), 95.95423936843872)
(((100, 0.003, 0.0003), 5770, 2.1518724), 94.85574960708618)
(((150, 0.003, 0.0003), 4370, 2.107892), 96.25920057296753)
(((20, 0.003, 0.001), 3100, 4.494494), 90.93878269195557)
(((50, 0.003, 0.001), 3000, 4.522115), 91.32086634635925)
(((60, 0.003, 0.001), 4370, 4.5330496), 90.72778820991516)
(((80, 0.003, 0.001), 3260, 4.540857), 90.5586302280426)
(((100, 0.003, 0.001), 2950, 4.567824), 90.95966815948486)
(((150, 0.003, 0.001), 3010, 4.611968), 90.73665738105774)
(((20, 0.003, 0.003), 2030, 13.760629), 49.959444999694824)
(((50, 0.003, 0.003), 2190, 13.827091), 50.02062916755676)
(((60, 0.003, 0.003), 2170, 13.855417), 49.985602498054504)
(((80, 0.003, 0.003), 2260, 13.908355), 49.959832429885864)
(((100, 0.003, 0.003), 2370, 13.949187), 50.064462423324585)
(((150, 0.003, 0.003), 2160, 14.0947), 50.00180006027222)
(((20, 0.003, 0.005), 1750, 13.788644), 49.94286596775055)
(((50, 0.003, 0.005), 2070, 13.913887), 50.03901124000549)
(((60, 0.003, 0.005), 2000, 13.954901), 49.97371435165405)
